Name,Type,Ownership,Sub-ownership,Eco-region,District
Dhuwang HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Dikuwa HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Dilasaini HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Dimipokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Diplung HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Dirbung HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Divarna HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Diyale HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Dobhan HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Dobhane HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Doholi HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Dolalghat HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Doramba HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Dorpa (Chiuridada) HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Dowa HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Dubekoldada HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Dubichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Dubidanda HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Dubring HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Dudbhanjyang HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Dudhapokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Dudhouli HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Duipipal HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Dukuchhap HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Duli HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Dummana HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Dumre Dharapani HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Dumre HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Duni HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Duradanda HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Duragau HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Durchhim HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Durdimba HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Durgabhabani HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Durgamandau HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Durgasthan HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Durlung HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Duwakot HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Dwari HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Ebhang HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Ektappa HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Ekteen HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Embung HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Ename HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Erautar HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Esibu HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Ewa HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Fagaam HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Fakhel HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Faksib HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Faktang HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Falaicha HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Falametar HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Falamkhani HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Falate Bhumlu HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Falate HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Falebas Devisthan HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Faparbari (Betini) HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Faparthum HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Fediguth HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Fedikhola HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Fek HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Fikuri HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Finam HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Firfire HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Foksing HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Foksingkot HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Foksingtar HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Fujel HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Fulbari HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Fulebas Khanigaun HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Futung HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Gaam HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Gadakot HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Gadi HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Gaditar (Annapurna) HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Gadsera HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Gagalphedi HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Gaguda HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Gaihragau HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Gaikhur HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Gairi Bisounadeupur HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Gairigaun HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Gajara HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Gajari HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Gajarkot HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Gajul HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Gajurmukhi HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Gakhu HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Galdha HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Gamaudi HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Gamnangtar HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Ganeshpur HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Ganeshthan HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Ganespur HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Ganjari HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Gankhet HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Garayala HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Garpa HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Gaudakot HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Gaunkharka HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Gaunsahar HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Gauri HP DAILEKH,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Gauswara HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Gautamkot HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Gejha HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Gelu HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Gerkhu HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Ghachok HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Ghairung HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Ghajaripipal HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Ghamir HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Ghandruk HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Ghangal HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Ghanpokhara HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Ghansikuwa HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Ghanteswor HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Ghar HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Gharanga HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Ghartichhap HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Ghartigaun HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Ghataldoti HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Ghatan HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Ghatgaun HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Ghermu HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Ghetma HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Ghiring Sundhara HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Ghodagaun HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Ghodasain HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Ghoreta HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Ghorlikharka HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Ghughurkot HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Ghumkhahare HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Ghusel HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Ghyachhok HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Ghyalchok HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Ghyangphedi HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Gimdi HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Giregada HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Girichauka HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Godak HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Godamchaur HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Godawari HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Gogane HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Gogane HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Gogane HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Goganpani HP DAILEKH,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Goganpani HP DHADING,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Gokhunga HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Gokule HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Gokuleshwor HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Goldhunga HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Gonggabu HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Gorkhe HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Gorsyang HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Gothadi HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Gothatar HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Gothgau HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Gothiwang HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Gothpani HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Gotikhel HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Gujar HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Gumchal HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Gumda HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Gumdel HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Gumdi HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Gumi HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Gundu HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Gunsi Bhadaure HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Gupteshwor HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Guptesor HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Gurjakhani HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Gurukhola HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Guthu HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Gwadi HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Gwagha HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Gwalichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Hadahade HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Hadakot HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Hadia HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Halesi HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Hamarjung HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Handikhola HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Hangum HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Hansapur HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Hansapur HP KASKI,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Hansapur HP PYUTHAN,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Hansara HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Hardeni HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Hardineta HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Harewa HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Hariharpur Gadhi HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Hariharpur HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Harisiddhi HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Harjang HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Harkapur HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Harmi HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
Harmichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Harrachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Harsahi HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Hasanpur HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Hastichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Hat HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Hatiya HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Hatiya HP Hatiya,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Hatpate HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Hatraj HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Hattikharka HP,Health Post,Public,Ministry of Health & Population,Hill,Dhankuta
Hattikot HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Haunchur HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Heklang HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Helauchha HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Help Nepal Heath Post,Health Post,Public,Ministry of Health & Population,Hill,Achham
Hemja HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Hetauda Chaughada HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Hichma HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Hila HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Hiledevi HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Hiletaskar HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Himganga HP,Health Post,Public,Ministry of Health & Population,Hill,Ramechhap
Histhanmandali HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Hiwalcha HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Hokse Bazar HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Homtang HP,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Hosrangdi HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Hugdisir HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Hukam HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Humin HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Hunga HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Hungi HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Hurnamadi HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Huwas HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Hwaku HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Hwangdi HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Ichangnarayan HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Ikudol HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Ilampokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Imadol HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Indrayani HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Indreni Pokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Ipapanchakanya HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Ismarajasthal HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jaganath HP 74 Dasharathchanda Municipality,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Jaganath HP Jaganath,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Jagatbhanjyang HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Jagatipur HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Jagatradevi HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Jaidi HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Jailwang HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Jaisithok HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jaisithok HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jaisithok Mandan HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Jalapa HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Jaljala HP BAGLUNG,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Jaljale HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Jalkanya Chapauli HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Jalpa HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Jaluke HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Jambukandh HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Jamuna HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Jamune HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Janalibandali HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Janalikot HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Jang HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Jankot HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Jantarkhani HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Jante HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Jarayotar HP Balajor,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Jarayotar HP Jarayotar,Health Post,Public,Ministry of Health & Population,Hill,Bhojpur
Jarbuta HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Jaulipokhari HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Jayagadh HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Jayakhani HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jedwang HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Jeewanpur HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Jhadewa HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Jhangajholi Ratamata HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Jhapra HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Jharlang HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Jharuwarasi HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Jhenam HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Jhin HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Jhirubas HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Jhormahankal HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Jhoukhel HP,Health Post,Public,Ministry of Health & Population,Hill,Bhaktapur
Jhula HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Jiling HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Jimali HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Jinakhu HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Jinawang HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Jirikhimti HP,Health Post,Public,Ministry of Health & Population,Hill,Terhathum
Jirmale HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Jita HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Jitpur HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Jitpurphedi HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Jogidah HP,Health Post,Public,Ministry of Health & Population,Hill,Udayapur
Jogimara HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Jogmai HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Johang HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jorpati HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Joshibunga HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Jukena HP,Health Post,Public,Ministry of Health & Population,Hill,Arghakhanchi
Jumrikada HP,Health Post,Public,Ministry of Health & Population,Hill,Pyuthan
Jungathapachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Juniya HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jupu HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Juthapauwa HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Juvung HP,Health Post,Public,Ministry of Health & Population,Hill,Gulmi
Jyamdi Mandan HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Jyamire HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Jyamire HP KHOTANG,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Jyamire HP PALPA,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Jyamruk HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Jyamrukkot HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Jyamrukkot HP,Health Post,Public,Ministry of Health & Population,Hill,Myagdi
Jyamrung HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Kabhresthali HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Kabilas HP NUWAKOT,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Kachal HP,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Kadamandau HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Kafalkot HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Kahule HP,Health Post,Public,Ministry of Health & Population,Hill,Khotang
Kahun HP,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Kahushivapur HP,Health Post,Public,Ministry of Health & Population,Hill,Tanahu
Kailpalmandau HP,Health Post,Public,Ministry of Health & Population,Hill,Dadeldhura
Kaipal HP,Health Post,Public,Ministry of Health & Population,Hill,Baitadi
Kajeri HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
KakurThakur HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Kalagaun HP Kalagau,Health Post,Public,Ministry of Health & Population,Hill,Achham
Kalagaun HP Kalagaun,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Kalatibhumi Danda HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Kalbhairab HP,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Kalche HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Kalekanda HP,Health Post,Public,Ministry of Health & Population,Hill,Achham
Kalena HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Kaleswor HP,Health Post,Public,Ministry of Health & Population,Hill,Lalitpur
Kalika HP ACHHAM,Health Post,Public,Ministry of Health & Population,Hill,Achham
Kalika HP DAILEKH,Health Post,Public,Ministry of Health & Population,Hill,Dailekh
Kalika HP KASKI,Health Post,Public,Ministry of Health & Population,Hill,Kaski
Kalikadevi HP,Health Post,Public,Ministry of Health & Population,Hill,Okhaldhunga
Kalikahalde HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Kalikakot HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Kalikatar HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Kalleri HP,Health Post,Public,Ministry of Health & Population,Hill,Dhading
Kalpabrishykha HP,Health Post,Public,Ministry of Health & Population,Hill,Sindhuli
Kalyan HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Kalyanpur HP,Health Post,Public,Ministry of Health & Population,Hill,Nuwakot
Kanachaur HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Kanda HP RUKUM,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Kandebas HP,Health Post,Public,Ministry of Health & Population,Hill,Baglung
Kankada HP,Health Post,Public,Ministry of Health & Population,Hill,Makwanpur
Kankri HP,Health Post,Public,Ministry of Health & Population,Hill,Rukum
Kanpur Kalapani HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Kanyam HP,Health Post,Public,Ministry of Health & Population,Hill,Ilam
Kapalleki HP,Health Post,Public,Ministry of Health & Population,Hill,Doti
Kapan HP,Health Post,Public,Ministry of Health & Population,Hill,Kathmandu
Kaphalbote HP,Health Post,Public,Ministry of Health & Population,Hill,Panchthar
Kaphrechaur HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Kaprichaur HP,Health Post,Public,Ministry of Health & Population,Hill,Surkhet
Karagithi HP,Health Post,Public,Ministry of Health & Population,Hill,Salyan
Karapu HP,Health Post,Public,Ministry of Health & Population,Hill,Lamjung
Karendanda HP,Health Post,Public,Ministry of Health & Population,Hill,Syangja
Kareti HP,Health Post,Public,Ministry of Health & Population,Hill,Rolpa
Karkigaun HP,Health Post,Public,Ministry of Health & Population,Hill,Jajarkot
Karkineta HP,Health Post,Public,Ministry of Health & Population,Hill,Parbat
Kartike Deurali HP,Health Post,Public,Ministry of Health & Population,Hill,Kavre
Kaseni HP PALPA,Health Post,Public,Ministry of Health & Population,Hill,Palpa
Kashigaun HP,Health Post,Public,Ministry of Health & Population,Hill,Gorkha
